order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
e481f51cbdc54678b7cc49136f2d6af7,1,87285b34884572647811a353c7ac498a,d1b65fc7debc3361ea86b5f14c68d2e2,2017-10-06 11:07:15,29.99,8.72
53cdb2fc8bc7dce0b6741e2150273451,1,595fac2a385a1c2ce5ca8e92f0ce0677,cc419e0650a3c5ba77189a1882b7556a,2018-07-30 03:24:27,118.70,22.76
47770eb9100c2d0c44946d9cf07ec65d,1,aafdb09c09bab8e5b31b8b1dbce56a3c,b29b6fa1f40b3d3e45dcbec33a8edc1e,2018-08-13 08:55:23,199.90,33.14
949d5b44dbf5de918fe9c16f97b45f8a,1,1ae6e6ab89b2b7ffe39135a5acfe8e0a,84a33d87b24588ca08eba96afe94ef37,2017-11-22 19:45:59,12.99,11.85
ad21c59c0840e6cb83a9ceb5573f8159,1,4aa6014ecb4918a66fb2de970a22abb0,7e93a43ef30c4f03f38b393420bc753a,2018-02-16 22:20:29,58.90,13.29
a4591c265e18cb1dcee52889e2d8acc3,1,e09c5b9ccd518c1f3a76951b5ee6e20a,21c00a0f0c453f2cb2d8f8c5a3b57c11,2017-07-13 22:10:13,239.90,19.93
a4591c265e18cb1dcee52889e2d8acc3,2,bf4538d8c7a0bf41b9f40b0a04a70e3c,21c00a0f0c453f2cb2d8f8c5a3b57c11,2017-07-13 22:10:13,49.90,19.93
6514b8ad8028c9f2cc2374ded245783f,1,20c7d3fb4c98a4ebbd9b2d43e0ef6e34,da8622b14eb17ae2831f4ac5b9dab84a,2017-05-18 13:22:11,15.99,7.87
76c6e866289321a7c93b82b54852dc33,1,fb503a7327c8d770efc0e9e2c93e1f04,0b8ffe3f73b96f4f7f0fa86ef25e6ec0,2017-01-27 02:50:47,169.90,23.28
e69bfb5eb88e0ed6a785585b27e16dbf,1,6e76a0a9289041b08053f98dc1a67d2a,05ebbb56d48ef5c45c0cdb6218a2e9a3,2017-08-02 12:05:32,65.00,16.34
