order_id,payment_sequential,payment_type,payment_installments,payment_value
e481f51cbdc54678b7cc49136f2d6af7,1,credit_card,1,38.71
53cdb2fc8bc7dce0b6741e2150273451,1,credit_card,8,141.46
47770eb9100c2d0c44946d9cf07ec65d,1,credit_card,1,233.04
949d5b44dbf5de918fe9c16f97b45f8a,1,boleto,1,24.84
ad21c59c0840e6cb83a9ceb5573f8159,1,credit_card,1,72.19
a4591c265e18cb1dcee52889e2d8acc3,1,voucher,1,68.89
a4591c265e18cb1dcee52889e2d8acc3,2,credit_card,3,240.84
6514b8ad8028c9f2cc2374ded245783f,1,debit_card,1,23.86
76c6e866289321a7c93b82b54852dc33,1,credit_card,3,193.18
e69bfb5eb88e0ed6a785585b27e16dbf,1,credit_card,2,81.34
